"","COMMON.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","PROTOCOL.TYPE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","julian_date"
"17371","Tree Swallow",700,44.167853,-76.4084744,2002-09-22,"","Historical",NA,NA,NA,2,0,265
"18095","Tree Swallow",250,44.1395559,-76.7227821,2002-09-14,"","Historical",NA,NA,NA,2,1,257
"18349","Tree Swallow",850,45.2732556,-75.2444172,2002-08-22,"10:00:00","Traveling",25,0.5,NA,1,1,234
"18355","Tree Swallow",250,45.2732556,-75.2444172,2002-08-07,"","Historical",NA,NA,NA,1,1,219
"21156","Tree Swallow",4000,44.1753098,-76.4181519,2003-09-10,"08:30:00","Traveling",360,20,NA,8,1,253
"21158","Tree Swallow",500,44.1753098,-76.4181519,2003-10-04,"","Incidental",NA,NA,NA,1,1,277
"21160","Tree Swallow",500,44.1753098,-76.4181519,2003-10-05,"","Historical",NA,NA,NA,NA,1,278
"22378","Tree Swallow",800,43.9391343,-76.8611455,2003-08-29,"","Historical",NA,NA,NA,1,0,241
"25649","Tree Swallow",500,44.1186876,-78.9646454,2003-09-28,"","Incidental",NA,NA,NA,NA,0,271
"25850","Tree Swallow",400,44.1395559,-76.7227821,2003-08-17,"","Historical",NA,NA,NA,2,1,229
"25852","Tree Swallow",350,44.1395559,-76.7227821,2003-09-07,"09:00:00","Traveling",360,14,NA,8,1,250
"25856","Tree Swallow",500,44.1395559,-76.7227821,2003-10-03,"","Historical",NA,NA,NA,NA,1,276
"30178","Tree Swallow",650,41.9553986,-82.5139999,2004-10-16,"","Historical",NA,NA,NA,NA,0,290
"33028","Tree Swallow",220,45.5,-75.53333,2004-07-04,"","Historical",70,NA,NA,1,1,186
"34511","Tree Swallow",300,44.1395559,-76.7227821,2004-09-10,"","Historical",NA,NA,NA,2,1,254
"38055","Tree Swallow",600,44.1753098,-76.4181519,2005-09-28,"08:30:00","Traveling",360,40,NA,11,1,271
"38115","Tree Swallow",1500,44.5483989,-76.1270142,2005-07-06,"07:30:00","Traveling",360,60,NA,7,1,187
"39868","Tree Swallow",500,44,-77.7361111,2005-08-31,"","Incidental",NA,NA,NA,1,0,243
"40967","Tree Swallow",300,44.1807812,-76.4713454,2005-09-14,"","Historical",NA,NA,NA,1,1,257
"42176","Tree Swallow",315,42.5829243,-80.3983998,2005-10-09,"07:30:00","Traveling",180,1.5,NA,1,1,282
"43174","Tree Swallow",250,44.1395559,-76.7227821,2005-08-03,"08:30:00","Traveling",330,40,NA,9,1,215
"45473","Tree Swallow",395,42.6464602,-80.8221245,2005-10-08,"09:00:00","Stationary",240,NA,NA,2,1,281
"45718","Tree Swallow",250,41.9871058,-82.5240183,2005-10-30,"","Historical",NA,NA,NA,NA,0,303
"45720","Tree Swallow",1300,41.9871058,-82.5240183,2005-07-08,"","Historical",NA,NA,NA,NA,0,189
"46227","Tree Swallow",300,42.034026,-83.040726,2005-10-16,"07:00:00","Stationary",480,NA,NA,6,1,289
"46231","Tree Swallow",1000,42.034026,-83.040726,2005-10-08,"07:00:00","Stationary",480,NA,NA,5,1,281
"47017","Tree Swallow",400,45.41667,-75.76667,2005-08-20,"","Historical",75,NA,NA,1,1,232
"50962","Tree Swallow",2708,42.4185735,-82.3311996,2006-09-22,"06:55:00","Traveling",400,79.998,NA,2,1,265
"51865","Tree Swallow",1500,42.5933333,-80.4547222,2006-09-02,"17:00:00","Traveling",60,2,NA,1,1,245
"52477","Tree Swallow",250,45.36469,-75.88305,2006-08-12,"08:45:00","Historical",45,NA,NA,1,0,224
"52922","Tree Swallow",400,44.1395559,-76.7227821,2006-08-23,"08:30:00","Traveling",300,30,NA,16,1,235
"53111","Tree Swallow",2500,42.5611096,-80.2817345,2006-08-13,"09:00:00","Traveling",60,2,NA,1,1,225
"53269","Tree Swallow",715,42.3758962,-81.8553436,2006-09-20,"09:00:00","Stationary",180,NA,NA,2,1,263
"53278","Tree Swallow",535,42.2718798,-82.4890852,2006-09-25,"16:45:00","Traveling",60,10,NA,3,1,268
"53280","Tree Swallow",800,42.2718798,-82.4890852,2006-09-11,"09:00:00","Traveling",60,10,NA,3,1,254
"53286","Tree Swallow",855,42.4748519,-82.3640299,2006-09-22,"08:30:00","Traveling",30,10,NA,2,1,265
"53287","Tree Swallow",503,42.4748519,-82.3640299,2006-09-08,"10:50:00","Traveling",30,10,NA,2,1,251
"53369","Tree Swallow",300,45.2732556,-75.2444172,2006-08-12,"10:35:00","Traveling",50,0.644,NA,1,1,224
"55600","Tree Swallow",2000,45.38333,-75.8,2006-08-20,"","Historical",90,NA,NA,2,1,232
"55601","Tree Swallow",400,45.38333,-75.8,2006-08-08,"","Historical",60,NA,NA,1,1,220
"57790","Tree Swallow",1000,44.33006,-76.16969,2007-09-05,"07:30:00","Traveling",300,60,NA,8,1,248
"58108","Tree Swallow",220,45.4,-75.83333,2007-08-22,"07:15:00","Historical",155,NA,NA,1,1,234
"59570","Tree Swallow",400,42.63253,-80.46632,2007-07-10,"07:30:00","Incidental",210,NA,NA,1,1,191
"61680","Tree Swallow",500,42.3195895,-82.02075,2007-09-14,"10:00:00","Incidental",40,NA,NA,2,1,257
"62435","Tree Swallow",284,42.0180781,-82.9583216,2007-09-15,"09:45:00","Traveling",225,35,NA,2,1,258
"62436","Tree Swallow",400,42.0180781,-82.9583216,2007-09-10,"08:15:00","Traveling",225,36,NA,2,1,253
"65352","Tree Swallow",800,45.560218,-74.8773193,2008-07-19,"09:15:00","Traveling",195,3.219,NA,30,1,201
"68721","Tree Swallow",4000,41.9871058,-82.5240183,2008-10-06,"","Historical",NA,NA,NA,NA,0,280
"69388","Tree Swallow",500,45.5536672,-74.8977041,2008-08-24,"12:45:00","Stationary",285,NA,NA,2,1,237
"70756","Tree Swallow",500,42.6144444,-80.4583333,2008-07-30,"","Incidental",NA,NA,NA,NA,1,212
"71472","Tree Swallow",250,44.33006,-76.16969,2008-08-06,"07:30:00","Traveling",330,70,NA,14,1,219
"73621","Tree Swallow",500,42.3733834,-82.3952293,2009-07-26,"16:30:00","Traveling",15,1,NA,1,1,207
"75688","Tree Swallow",250,41.7286646,-82.6721191,2009-07-25,"","Incidental",NA,NA,NA,1,1,206
"77009","Tree Swallow",500,42.034026,-83.040726,2009-10-10,"04:40:00","Stationary",780,NA,NA,3,1,283
"77410","Tree Swallow",400,42.978514,-79.875026,2009-09-29,"","Incidental",NA,NA,NA,NA,0,272
"77714","Tree Swallow",1500,44.1753098,-76.4181519,2009-07-20,"","Incidental",NA,NA,NA,1,1,201
"78099","Tree Swallow",250,42.978514,-79.875026,2009-10-03,"","Incidental",NA,NA,NA,NA,0,276
"78700","Tree Swallow",700,41.9871058,-82.5240183,2009-10-12,"","Historical",NA,NA,NA,NA,0,285
"79103","Tree Swallow",250,44.1395559,-76.7227821,2009-09-02,"08:30:00","Traveling",300,40,NA,8,1,245
"79686","Tree Swallow",240,44.1753098,-76.4181519,2009-10-07,"","Incidental",NA,NA,NA,2,1,280
"79716","Tree Swallow",1000,42.5899941,-82.1839142,2009-08-16,"","Incidental",NA,NA,NA,NA,1,228
"79737","Tree Swallow",300,42.3195895,-82.02075,2009-08-01,"17:45:00","Traveling",75,1,NA,3,1,213
"80371","Tree Swallow",255,42.8491603,-79.5532526,2009-08-09,"","Incidental",NA,NA,NA,15,1,221
"81536","Tree Swallow",2600,42.0141781,-82.5134563,2009-08-23,"","Historical",NA,NA,NA,NA,0,235
"81648","Tree Swallow",500,42.0389428,-82.6165009,2009-10-10,"","Incidental",NA,NA,NA,NA,1,283
"82190","Tree Swallow",1000,42.034026,-83.040726,2009-10-06,"07:00:00","Stationary",420,NA,NA,1,1,279
"82285","Tree Swallow",3000,44.1395559,-76.7227821,2009-07-15,"10:00:00","Traveling",540,8.047,NA,1,1,196
"83195","Tree Swallow",400,44.1612727,-76.6766739,2009-07-07,"09:00:00","Traveling",420,30,NA,3,1,188
"83465","Tree Swallow",250,42.034026,-83.040726,2009-09-16,"07:00:00","Stationary",540,NA,NA,1,1,259
"84133","Tree Swallow",5000,42.5829243,-80.3983998,2009-08-14,"16:00:00","Area",120,NA,1.6187,1,1,226
"85059","Tree Swallow",2000,42.3195895,-82.02075,2010-08-08,"17:00:00","Traveling",45,0.5,NA,3,1,220
"85913","Tree Swallow",385,45.2684837,-75.2659607,2010-08-27,"14:00:00","Traveling",135,6.437,NA,3,1,239
"86079","Tree Swallow",268,45.3718273,-75.7983908,2010-08-22,"16:25:00","Traveling",122,3.4,NA,1,1,234
"87304","Tree Swallow",300,44.1753098,-76.4181519,2010-10-05,"","Incidental",NA,NA,NA,NA,0,278
"88148","Tree Swallow",385,45.2684837,-75.2659607,2010-08-27,"14:00:00","Traveling",135,6.437,NA,3,1,239
"88864","Tree Swallow",250,42.885524,-80.1569366,2010-09-08,"17:15:00","Traveling",45,2,NA,4,1,251
"89135","Tree Swallow",300,45.3931461,-75.8436012,2010-08-21,"18:45:00","Historical",155,NA,NA,5,1,233
"91156","Tree Swallow",2200,42.0141781,-82.5134563,2010-10-02,"","Historical",NA,NA,NA,NA,0,275
"92502","Tree Swallow",300,45.4,-75.83333,2010-08-21,"18:45:00","Historical",155,NA,NA,5,1,233
"92613","Tree Swallow",400,45.3801256,-75.801158,2010-09-06,"07:30:00","Stationary",120,NA,NA,1,1,249
"92831","Tree Swallow",250,42.885524,-80.1569366,2010-09-08,"17:15:00","Traveling",45,2,NA,4,1,251
"93203","Tree Swallow",1000,45.2732556,-75.2444172,2010-08-28,"08:45:00","Historical",55,NA,NA,1,0,240
"93521","Tree Swallow",282,42.034026,-83.040726,2010-09-05,"06:00:00","Stationary",480,NA,NA,1,1,248
"96162","Tree Swallow",345,42.034026,-83.040726,2010-09-30,"06:15:00","Stationary",510,NA,NA,4,1,273
"97324","Tree Swallow",600,45.1037749,-75.2193317,2010-08-11,"18:30:00","Traveling",480,4.828,NA,NA,1,223
"98304","Tree Swallow",310,44.1753098,-76.4181519,2010-10-13,"08:30:00","Traveling",330,40,NA,13,1,286
"98328","Tree Swallow",300,45.1988932,-75.820655,2010-08-16,"18:06:00","Traveling",24,0.4,NA,1,1,228
"98920","Tree Swallow",350,42.034026,-83.040726,2011-09-26,"08:15:00","Stationary",465,NA,NA,2,1,269
"99491","Tree Swallow",3000,42.9394135,-81.8952305,2011-09-15,"18:50:00","Traveling",50,1,NA,2,1,258
"99500","Tree Swallow",400,42.034026,-83.040726,2011-10-19,"09:45:00","Stationary",330,NA,NA,1,1,292
"99986","Tree Swallow",500,42.034026,-83.040726,2011-10-20,"07:00:00","Stationary",480,NA,NA,1,1,293
"100037","Tree Swallow",300,42.034026,-83.040726,2011-09-06,"06:00:00","Stationary",630,NA,NA,3,1,249
"100161","Tree Swallow",400,42.034026,-83.040726,2011-10-03,"06:30:00","Stationary",510,NA,NA,4,1,276
"101126","Tree Swallow",500,44.1753098,-76.4181519,2011-08-28,"","Historical",NA,NA,NA,2,1,240
"101316","Tree Swallow",400,42.034026,-83.040726,2011-10-19,"09:45:00","Stationary",315,NA,NA,1,1,292
"101406","Tree Swallow",300,42.034026,-83.040726,2011-09-29,"06:15:00","Stationary",585,NA,NA,1,1,272
"101423","Tree Swallow",500,42.272442,-82.447822,2011-09-22,"08:30:00","Area",180,NA,20.2343,1,1,265
"101930","Tree Swallow",600,42.034026,-83.040726,2011-10-21,"06:45:00","Stationary",555,NA,NA,1,1,294
"102533","Tree Swallow",750,42.034026,-83.040726,2011-09-28,"06:15:00","Stationary",585,NA,NA,4,1,271
"102545","Tree Swallow",300,42.034026,-83.040726,2011-09-06,"06:00:00","Stationary",630,NA,NA,1,1,249
"103679","Tree Swallow",1000,42.5829243,-80.3983998,2011-07-19,"20:00:00","Stationary",75,NA,NA,4,1,200
"103984","Tree Swallow",900,42.0141781,-82.5134563,2011-10-16,"","Historical",NA,NA,NA,NA,1,289
"104328","Tree Swallow",339,42.034026,-83.040726,2011-10-25,"06:45:00","Stationary",540,NA,NA,1,1,298
"105667","Tree Swallow",265,42.034026,-83.040726,2011-10-13,"06:30:00","Stationary",570,NA,NA,3,1,286
"105706","Tree Swallow",265,42.034026,-83.040726,2011-10-13,"06:30:00","Stationary",570,NA,NA,1,1,286
"107002","Tree Swallow",400,42.034026,-83.040726,2011-10-03,"06:30:00","Stationary",510,NA,NA,1,1,276
"107192","Tree Swallow",4000,42.885524,-80.1569366,2011-08-14,"","Incidental",NA,NA,NA,NA,1,226
"107452","Tree Swallow",350,42.034026,-83.040726,2011-09-26,"08:15:00","Stationary",465,NA,NA,1,1,269
"108331","Tree Swallow",300,42.034026,-83.040726,2011-09-29,"06:15:00","Stationary",585,NA,NA,3,1,272
"108814","Tree Swallow",500,45.1080902,-75.3477359,2011-09-14,"09:00:00","Stationary",15,NA,NA,1,1,257
"109042","Tree Swallow",250,45.3931461,-75.8436012,2011-08-24,"10:30:00","Historical",180,NA,NA,1,1,236
"110343","Tree Swallow",4000,45.2732556,-75.2444172,2011-09-22,"16:00:00","Traveling",60,0.5,NA,1,0,265
"111109","Tree Swallow",300,42.034026,-83.040726,2011-10-14,"06:45:00","Stationary",555,NA,NA,3,1,287
"111120","Tree Swallow",300,42.034026,-83.040726,2011-10-14,"06:45:00","Stationary",555,NA,NA,1,1,287
"111258","Tree Swallow",339,42.034026,-83.040726,2011-10-25,"06:45:00","Stationary",540,NA,NA,1,1,298
"111310","Tree Swallow",750,42.034026,-83.040726,2011-09-28,"06:15:00","Stationary",585,NA,NA,1,1,271
"111683","Tree Swallow",500,42.885524,-80.1569366,2011-08-19,"08:30:00","Incidental",NA,NA,NA,NA,1,231
"112111","Tree Swallow",500,42.034026,-83.040726,2011-10-20,"07:00:00","Stationary",480,NA,NA,2,1,293
"112176","Tree Swallow",600,42.034026,-83.040726,2011-10-21,"06:45:00","Stationary",555,NA,NA,4,1,294
"112480","Tree Swallow",300,42.034026,-83.040726,2011-10-12,"06:30:00","Stationary",510,NA,NA,4,1,285
"112876","Tree Swallow",300,42.4073,-82.3542,2011-09-12,"16:35:00","Incidental",NA,NA,NA,1,1,255
"113314","Tree Swallow",300,42.034026,-83.040726,2011-10-12,"06:30:00","Stationary",510,NA,NA,1,1,285
"113960","Tree Swallow",400,42.9394135,-81.8952305,2011-08-15,"19:50:00","Traveling",60,1.5,NA,2,1,227
"114397","Tree Swallow",250,42.034026,-83.040726,2012-10-03,"08:00:00","Stationary",420,NA,NA,3,1,277
"114418","Tree Swallow",300,42.5829243,-80.3983998,2012-07-30,"19:30:00","Historical",NA,NA,NA,2,1,212
"116337","Tree Swallow",1500,42.5933333,-80.4547222,2012-08-01,"20:15:00","Stationary",50,NA,NA,2,1,214
"117519","Tree Swallow",500,42.5933333,-80.4547222,2012-08-14,"20:00:00","Stationary",30,NA,NA,2,1,227
"117695","Tree Swallow",250,45.255547,-75.33072,2012-09-14,"09:05:00","Stationary",25,NA,NA,1,1,258
"119224","Tree Swallow",500,42.5829243,-80.3983998,2012-08-15,"06:00:00","Area",360,NA,0.8094,1,1,228
"120018","Tree Swallow",300,44.1548113,-80.3804712,2012-07-09,"","Incidental",NA,NA,NA,NA,1,191
"120183","Tree Swallow",300,42.5829243,-80.3983998,2012-07-30,"19:30:00","Incidental",NA,NA,NA,2,1,212
"122615","Tree Swallow",281,42.5829243,-80.3983998,2012-08-05,"05:45:00","Area",360,NA,0.8094,12,1,218
"124123","Tree Swallow",1000,42.5829243,-80.3983998,2012-07-31,"20:00:00","Historical",NA,NA,NA,NA,0,213
"124610","Tree Swallow",1000,45.2732556,-75.2444172,2012-09-04,"10:30:00","Traveling",25,1,NA,1,1,248
"125261","Tree Swallow",250,42.3195895,-82.02075,2012-07-26,"14:00:00","Area",45,NA,4.0469,2,1,208
"125812","Tree Swallow",300,42.6239494,-80.462923,2012-08-18,"16:10:00","Stationary",40,NA,NA,1,1,231
"125969","Tree Swallow",1180,42.034026,-83.040726,2012-09-12,"07:00:00","Stationary",420,NA,NA,1,1,256
"126569","Tree Swallow",1000,45.2732556,-75.2444172,2012-09-20,"18:45:00","Traveling",15,0.5,NA,1,1,264
"126626","Tree Swallow",250,44.5790575,-76.3204336,2012-07-14,"08:00:00","Traveling",270,40,NA,6,1,196
"127001","Tree Swallow",250,42.3195895,-82.02075,2012-07-26,"14:00:00","Area",45,NA,4.0469,2,1,208
"128348","Tree Swallow",280,42.885524,-80.1569366,2012-08-13,"16:40:00","Area",60,NA,10.1171,3,1,226
"128353","Tree Swallow",300,42.034026,-83.040726,2012-09-11,"07:15:00","Traveling",120,0.756,NA,1,1,255
"128412","Tree Swallow",1500,42.5933333,-80.4547222,2012-08-01,"20:15:00","Stationary",50,NA,NA,2,1,214
"129214","Tree Swallow",2500,42.034026,-83.040726,2012-09-19,"08:30:00","Stationary",390,NA,NA,1,1,263
"129681","Tree Swallow",1000,42.5829243,-80.3983998,2012-07-31,"20:00:00","Incidental",NA,NA,NA,NA,0,213
"130042","Tree Swallow",281,42.5829243,-80.3983998,2012-08-05,"05:45:00","Area",360,NA,0.8094,12,1,218
"130366","Tree Swallow",500,42.6239494,-80.462923,2012-07-31,"15:15:00","Incidental",NA,NA,NA,2,0,213
"130499","Tree Swallow",281,42.5829243,-80.3983998,2012-08-05,"05:45:00","Area",360,NA,0.8094,12,1,218
"130781","Tree Swallow",281,42.5829243,-80.3983998,2012-08-05,"05:45:00","Area",360,NA,0.8094,12,1,218
"130969","Tree Swallow",350,42.885524,-80.1569366,2012-08-10,"13:30:00","Traveling",75,1.5,NA,10,1,223
"131378","Tree Swallow",350,42.885524,-80.1569366,2012-07-15,"10:00:00","Traveling",60,2,NA,3,1,197
"132130","Tree Swallow",400,42.885524,-80.1569366,2012-08-14,"19:34:00","Traveling",53,0.483,NA,1,1,227
"132472","Tree Swallow",500,45.2719872,-75.2463913,2012-08-20,"10:35:00","Area",45,NA,44.65,1,1,233
"133018","Tree Swallow",281,42.5829243,-80.3983998,2012-08-05,"05:45:00","Area",360,NA,0.8094,12,1,218
"133254","Tree Swallow",500,42.5933333,-80.4547222,2012-08-14,"20:00:00","Stationary",30,NA,NA,2,1,227
"133479","Tree Swallow",281,42.5829243,-80.3983998,2012-08-05,"05:45:00","Area",360,NA,0.8094,12,1,218
"133793","Tree Swallow",25000,42.5933333,-80.4547222,2012-08-08,"20:25:00","Stationary",20,NA,NA,2,0,221
"133867","Tree Swallow",500,44.62895,-76.13395,2012-07-22,"07:30:00","Traveling",210,20,NA,6,1,204
"133915","Tree Swallow",250,42.885524,-80.1569366,2012-07-27,"16:30:00","Historical",NA,NA,NA,2,1,209
"134058","Tree Swallow",500,42.6239494,-80.462923,2012-07-31,"15:15:00","Historical",NA,NA,NA,2,0,213
"134122","Tree Swallow",250,42.885524,-80.1569366,2012-07-27,"16:30:00","Incidental",NA,NA,NA,2,1,209
"134841","Tree Swallow",281,42.5829243,-80.3983998,2012-08-05,"05:45:00","Area",360,NA,0.8094,12,1,218
"136005","Tree Swallow",25000,42.5933333,-80.4547222,2012-08-08,"20:25:00","Stationary",20,NA,NA,2,0,221
"136355","Tree Swallow",1032,42.034026,-83.040726,2012-10-17,"07:45:00","Stationary",480,NA,NA,2,1,291
"136375","Tree Swallow",650,41.9553986,-82.5139999,2012-10-06,"08:30:00","Traveling",360,25,NA,2,1,280
"136480","Tree Swallow",280,42.8795417,-80.1574293,2012-08-13,"16:40:00","Traveling",60,0.8,NA,3,1,226
"137182","Tree Swallow",281,42.5829243,-80.3983998,2012-08-05,"05:45:00","Area",360,NA,0.8094,12,1,218
"138109","Tree Swallow",1032,42.034026,-83.040726,2012-10-17,"08:00:00","Stationary",480,NA,NA,3,1,291
"140123","Tree Swallow",750,42.856083,-81.735146,2013-10-09,"14:46:00","Stationary",15,NA,NA,2,1,282
"140523","Tree Swallow",250,42.885524,-80.1569366,2013-07-05,"19:30:00","Traveling",30,2,NA,1,1,186
"140759","Tree Swallow",500,42.739529,-81.648971,2013-09-25,"13:23:00","Incidental",NA,NA,NA,2,1,268
"142200","Tree Swallow",9000,44.197959,-76.3742065,2013-07-30,"19:30:00","Traveling",120,5,NA,5,1,211
"142265","Tree Swallow",250,44.050324,-77.5174767,2013-08-09,"18:00:00","Traveling",30,0.75,NA,1,1,221
"142366","Tree Swallow",239,42.034026,-83.040726,2013-10-21,"08:00:00","Stationary",480,NA,NA,1,0,294
"142388","Tree Swallow",1500,45.2564986,-75.3310041,2013-09-01,"18:00:00","Traveling",105,2,NA,1,1,244
"142581","Tree Swallow",824,42.034026,-83.040726,2013-09-29,"07:30:00","Stationary",360,NA,NA,6,0,272
"143603","Tree Swallow",400,45.2732556,-75.2444172,2013-09-11,"09:30:00","Traveling",60,4,NA,1,1,254
"144268","Tree Swallow",225,45.5486785,-74.8553467,2013-09-02,"15:00:00","Traveling",155,8.047,NA,2,1,245
"144758","Tree Swallow",500,45.2564986,-75.3310041,2013-09-06,"09:15:00","Traveling",105,2,NA,1,1,249
"145059","Tree Swallow",700,42.739723,-81.683583,2013-09-25,"13:00:00","Traveling",14,0.145,NA,2,1,268
"145647","Tree Swallow",300,43.0892939,-82.016201,2013-07-27,"","Incidental",NA,NA,NA,NA,0,208
"146000","Tree Swallow",250,42.9394135,-81.8952305,2013-10-08,"07:54:00","Traveling",56,1.802,NA,2,1,281
"146105","Tree Swallow",250,42.3195895,-82.02075,2013-07-24,"17:30:00","Traveling",120,0.998,NA,3,1,205
"146310","Tree Swallow",2000,45.2732556,-75.2444172,2013-09-02,"09:00:00","Traveling",90,3,NA,1,1,245
"148604","Tree Swallow",300,45.2732556,-75.2444172,2013-07-25,"07:40:00","Traveling",60,0.998,NA,1,1,206
"149443","Tree Swallow",3000,44.197959,-76.3742065,2013-07-30,"19:30:00","Traveling",120,5,NA,5,1,211
"150128","Tree Swallow",250,42.9392082,-81.895051,2013-10-04,"08:15:00","Traveling",45,1,NA,2,1,277
"150135","Tree Swallow",500,45.1307111,-75.6477356,2013-08-29,"09:00:00","Traveling",90,22,NA,1,1,241
"150329","Tree Swallow",3000,44.197959,-76.3742065,2013-07-30,"19:30:00","Traveling",120,5,NA,5,1,211
"150465","Tree Swallow",250,42.3195895,-82.02075,2013-07-24,"17:30:00","Traveling",120,0.998,NA,3,1,205
"150647","Tree Swallow",300,45.2732556,-75.2444172,2013-09-07,"09:00:00","Traveling",60,10,NA,1,1,250
"151305","Tree Swallow",1000,42.0638226,-83.0756092,2013-09-29,"03:00:00","Incidental",NA,NA,NA,2,0,272
"151545","Tree Swallow",500,45.2732556,-75.2444172,2013-09-07,"13:10:00","Traveling",80,1.609,NA,1,1,250
"152641","Tree Swallow",250,42.885524,-80.1569366,2013-07-24,"12:35:00","Traveling",65,0.805,NA,2,1,205
"154469","Tree Swallow",500,42.739529,-81.648971,2013-09-25,"13:23:00","Incidental",NA,NA,NA,2,1,268
"154848","Tree Swallow",620,43.9391343,-76.8611455,2013-07-28,"","Historical",NA,NA,NA,1,0,209
"156126","Tree Swallow",400,45.25986,-75.35641,2013-09-25,"17:30:00","Traveling",60,5,NA,2,1,268
"156393","Tree Swallow",400,45.2732556,-75.2444172,2013-08-31,"09:30:00","Traveling",90,7,NA,1,1,243
"156700","Tree Swallow",250,42.3195895,-82.02075,2013-07-24,"17:30:00","Traveling",120,0.998,NA,3,1,205
"156731","Tree Swallow",9000,44.197959,-76.3742065,2013-07-30,"19:30:00","Traveling",120,5,NA,5,1,211
"157333","Tree Swallow",250,42.9392082,-81.895051,2013-10-04,"08:15:00","Traveling",45,1,NA,2,1,277
"157679","Tree Swallow",750,42.856083,-81.735146,2013-10-09,"14:46:00","Stationary",15,NA,NA,2,1,282
"157881","Tree Swallow",300,45.3827393,-75.8007031,2013-09-12,"10:20:00","Historical",280,NA,NA,1,1,255
"157905","Tree Swallow",9000,44.197959,-76.3742065,2013-07-30,"19:30:00","Traveling",120,5,NA,5,1,211
"159095","Tree Swallow",700,42.739723,-81.683583,2013-09-25,"13:00:00","Traveling",14,0.145,NA,2,1,268
"159149","Tree Swallow",1500,42.0446398,-82.9401684,2013-08-13,"","Incidental",NA,NA,NA,NA,1,225
"159579","Tree Swallow",250,45.2382725,-75.1429653,2013-07-25,"09:04:00","Traveling",51,1.996,NA,1,1,206
"159734","Tree Swallow",600,45.2732556,-75.2444172,2013-08-03,"08:30:00","Traveling",90,4,NA,1,1,215
"160024","Tree Swallow",250,42.9394135,-81.8952305,2013-10-08,"07:54:00","Traveling",56,1.802,NA,2,1,281
"160282","Tree Swallow",3000,45.2567637,-75.3294754,2013-09-06,"09:00:00","Traveling",90,8.047,NA,2,1,249
"160294","Tree Swallow",300,42.3195895,-82.02075,2013-09-29,"12:44:00","Traveling",36,0.483,NA,1,1,272
"163530","Tree Swallow",3000,45.2567637,-75.3294754,2013-09-06,"09:00:00","Traveling",90,8.047,NA,2,1,249
"164891","Tree Swallow",300,44.12299,-76.72318,2013-07-31,"19:51:00","Stationary",70,NA,NA,1,1,212
"165321","Tree Swallow",1500,45.198,-75.58668,2013-08-31,"11:22:00","Stationary",20,NA,NA,2,0,243
"166641","Tree Swallow",500,45.2732556,-75.2444172,2013-09-01,"09:11:00","Traveling",60,1,NA,2,1,244
"167142","Tree Swallow",250,42.885524,-80.1569366,2013-07-24,"12:35:00","Traveling",65,0.805,NA,2,1,205
"167457","Tree Swallow",2500,45.2732556,-75.2444172,2013-09-06,"11:00:00","Traveling",90,6.437,NA,2,1,249
"168492","Tree Swallow",800,42.6239494,-80.462923,2013-08-08,"19:30:00","Stationary",30,NA,NA,1,1,220
"169132","Tree Swallow",2500,45.2732556,-75.2444172,2013-09-06,"11:00:00","Traveling",90,6.437,NA,2,1,249
